Network,Site_Code,Lon,Lat,Texture,Topo,Site_Info,Corr_Val,RMSE_Val,MinSM,MaxSM,Heuristic,Vert_Shift,Amplitude,Horiz_Shift,Porosity,Res_SM,Drainage,n,Class,Zone,Easting,Northing
ARS,WG09,-110.01431,31.72429,6,1,"Walnut Gulch, AZ (ARS)",0.869,1.3,2.5,13.9,0.755,0.032,0.031,257,12.74,2.56,0.377,450,IACJ,12R,593383,3510298
ARS,WG10,-109.99436,31.70931,12,1,"Walnut Gulch, AZ (ARS)",0.839,4.2,2.5,36.1,0.714,0.025,0.005,278.3,18.58,2,0.204,450,IACJ,12R,595288,3508655
ARS,WG11,-109.98571,31.72842,6,2,"Walnut Gulch, AZ (ARS)",0.873,1.9,2.5,18.9,0.757,0.026,0.022,280.4,16.32,2.78,0.315,450,IACJ,12R,596088,3510781
ARS,WG12,-109.9026,31.76997,6,2,"Walnut Gulch, AZ (ARS)",0.817,2.6,2.5,35,0.737,0.029,0.01,251.4,14.89,2.87,0.497,450,IACJ,12R,603916,3515463
ARS,WG13,-109.89881,31.75861,6,2,"Walnut Gulch, AZ (ARS)",0.634,1.6,2.5,26.4,0.567,0.046,0.01,17.5,13.94,2.63,0.135,450,IACJ,12R,604287,3514207
ARS,WG14,-110.12815,31.71956,6,3,"Walnut Gulch, AZ (ARS)",0.767,4,2.5,33.8,0.639,0.022,0.016,232.4,25.02,4.62,0.304,450,IACJ,12R,582601,3509682
ARS,WG15,-109.94271,31.73618,6,2,"Walnut Gulch, AZ (ARS)",0.44,2,2.5,12.3,0.236,0.018,0.018,261.6,8.66,2.54,0.334,500,IACJ,12R,600154,3511679
ARS,WG16,-110.05292,31.74377,6,2,"Walnut Gulch, AZ (ARS)",0.58,1.9,2.5,19.6,0.469,0.055,0,170.2,8.99,2.29,0.285,500,IACJ,12R,589706,3512425
ARS,WG17,-109.98308,31.75682,6,2,"Walnut Gulch, AZ (ARS)",0.639,6.3,2.5,47.2,0.498,0.024,0.014,310.5,20.63,4.69,0.166,500,IACJ,12R,596308,3513931
ARS,WG18,-110.13545,31.7386,6,2,"Walnut Gulch, AZ (ARS)",0.866,1.2,2.5,16.3,0.779,0.025,0,326.5,8.67,2.36,0.375,450,IACJ,12R,581893,3511787
ARS,WG19,-110.01608,31.67398,6,2,"Walnut Gulch, AZ (ARS)",0.88,1.4,2.5,21.2,0.805,0.034,0.02,269.2,13.83,1.89,0.301,450,IACJ,12R,593265,3504720
